variant,family,condition,successes,n,rate,status,missing_episodes
perceptual-framesamp-context,MoveCube,no-history,22,50,0.44,complete,
perceptual-framesamp-context,MoveCube,k0,38,50,0.76,complete,
perceptual-framesamp-context,MoveCube,k1,20,50,0.4,complete,
perceptual-framesamp-context,MoveCube,k3,15,50,0.3,complete,
perceptual-framesamp-context,MoveCube,k7,16,50,0.32,complete,
perceptual-framesamp-context,RouteStick,no-history,5,50,0.1,complete,
perceptual-framesamp-context,RouteStick,k0,10,50,0.2,complete,
perceptual-framesamp-context,RouteStick,k1,4,50,0.08,complete,
perceptual-framesamp-context,RouteStick,k3,3,50,0.06,complete,
perceptual-framesamp-context,RouteStick,k7,4,50,0.08,complete,
perceptual-framesamp-context,VideoUnmask,no-history,11,50,0.22,complete,
perceptual-framesamp-context,VideoUnmask,k0,16,50,0.32,complete,
perceptual-framesamp-context,VideoUnmask,k1,12,50,0.24,complete,
perceptual-framesamp-context,VideoUnmask,k3,13,50,0.26,complete,
perceptual-framesamp-context,VideoUnmask,k7,14,50,0.28,complete,
perceptual-framesamp-context,VideoUnmaskSwap,no-history,12,50,0.24,complete,
perceptual-framesamp-context,VideoUnmaskSwap,k0,12,50,0.24,complete,
perceptual-framesamp-context,VideoUnmaskSwap,k1,10,50,0.2,complete,
perceptual-framesamp-context,VideoUnmaskSwap,k3,12,50,0.24,complete,
perceptual-framesamp-context,VideoUnmaskSwap,k7,10,50,0.2,complete,
perceptual-framesamp-context,VideoRepick,no-history,2,50,0.04,complete,
perceptual-framesamp-context,VideoRepick,k0,8,50,0.16,complete,
perceptual-framesamp-context,VideoRepick,k1,9,50,0.18,complete,
perceptual-framesamp-context,VideoRepick,k3,4,50,0.08,complete,
perceptual-framesamp-context,VideoRepick,k7,4,50,0.08,complete,
perceptual-framesamp-context,VideoPlaceButton,no-history,12,50,0.24,complete,
perceptual-framesamp-context,VideoPlaceButton,k0,12,50,0.24,complete,
perceptual-framesamp-context,VideoPlaceButton,k1,12,50,0.24,complete,
perceptual-framesamp-context,VideoPlaceButton,k3,15,50,0.3,complete,
perceptual-framesamp-context,VideoPlaceButton,k7,13,50,0.26,complete,
perceptual-framesamp-context,VideoPlaceOrder,no-history,11,50,0.22,complete,
perceptual-framesamp-context,VideoPlaceOrder,k0,17,50,0.34,complete,
perceptual-framesamp-context,VideoPlaceOrder,k1,12,50,0.24,complete,
perceptual-framesamp-context,VideoPlaceOrder,k3,14,50,0.28,complete,
perceptual-framesamp-context,VideoPlaceOrder,k7,12,50,0.24,complete,
perceptual-framesamp-context,InsertPeg,no-history,1,50,0.02,complete,
perceptual-framesamp-context,InsertPeg,k0,0,50,0.0,complete,
perceptual-framesamp-context,InsertPeg,k1,0,50,0.0,complete,
perceptual-framesamp-context,InsertPeg,k3,1,50,0.02,complete,
perceptual-framesamp-context,InsertPeg,k7,0,50,0.0,complete,
perceptual-framesamp-context,PatternLock,no-history,4,50,0.08,complete,
perceptual-framesamp-context,PatternLock,k0,7,50,0.14,complete,
perceptual-framesamp-context,PatternLock,k1,5,50,0.1,complete,
perceptual-framesamp-context,PatternLock,k3,7,50,0.14,complete,
perceptual-framesamp-context,PatternLock,k7,7,50,0.14,complete,
perceptual-framesamp-expert,MoveCube,no-history,23,50,0.46,complete,
perceptual-framesamp-expert,MoveCube,k0,44,50,0.88,complete,
perceptual-framesamp-expert,MoveCube,k1,17,50,0.34,complete,
perceptual-framesamp-expert,MoveCube,k3,14,50,0.28,complete,
perceptual-framesamp-expert,MoveCube,k7,18,50,0.36,complete,
perceptual-framesamp-expert,RouteStick,no-history,2,50,0.04,complete,
perceptual-framesamp-expert,RouteStick,k0,9,50,0.18,complete,
perceptual-framesamp-expert,RouteStick,k1,3,50,0.06,complete,
perceptual-framesamp-expert,RouteStick,k3,3,50,0.06,complete,
perceptual-framesamp-expert,RouteStick,k7,3,50,0.06,complete,
perceptual-framesamp-expert,VideoUnmask,no-history,13,50,0.26,complete,
perceptual-framesamp-expert,VideoUnmask,k0,15,50,0.3,complete,
perceptual-framesamp-expert,VideoUnmask,k1,17,50,0.34,complete,
perceptual-framesamp-expert,VideoUnmask,k3,14,50,0.28,complete,
perceptual-framesamp-expert,VideoUnmask,k7,18,50,0.36,complete,
perceptual-framesamp-expert,VideoUnmaskSwap,no-history,10,50,0.2,complete,
