family,variant,condition,successes,n,rate,status
VideoRepick,perceptual-framesamp-modul,no-history,0,50,0.0,complete
VideoRepick,perceptual-framesamp-modul,k0,15,50,0.3,complete
VideoRepick,perceptual-framesamp-modul,k1,14,50,0.28,complete
VideoRepick,perceptual-framesamp-modul,k3,9,50,0.18,complete
VideoRepick,perceptual-framesamp-modul,k7,5,50,0.1,complete
VideoRepick,perceptual-tokendrop-modul,no-history,2,50,0.04,complete
VideoRepick,perceptual-tokendrop-modul,k0,11,50,0.22,complete
VideoRepick,perceptual-tokendrop-modul,k1,12,50,0.24,complete
VideoRepick,perceptual-tokendrop-modul,k3,5,50,0.1,complete
VideoRepick,perceptual-tokendrop-modul,k7,2,50,0.04,complete
VideoRepick,recurrent-ttt-expert,no-history,2,50,0.04,complete
VideoRepick,recurrent-ttt-expert,k0,2,50,0.04,complete
VideoRepick,recurrent-ttt-expert,k1,3,50,0.06,complete
VideoRepick,recurrent-ttt-expert,k3,2,50,0.04,complete
VideoRepick,recurrent-ttt-expert,k7,4,50,0.08,complete
VideoRepick,perceptual-framesamp-context,no-history,2,50,0.04,complete
VideoRepick,perceptual-framesamp-context,k0,8,50,0.16,complete
VideoRepick,perceptual-framesamp-context,k1,9,50,0.18,complete
VideoRepick,perceptual-framesamp-context,k3,4,50,0.08,complete
VideoRepick,perceptual-framesamp-context,k7,4,50,0.08,complete
VideoRepick,perceptual-framesamp-expert,no-history,2,50,0.04,complete
VideoRepick,perceptual-framesamp-expert,k0,8,50,0.16,complete
VideoRepick,perceptual-framesamp-expert,k1,7,50,0.14,complete
VideoRepick,perceptual-framesamp-expert,k3,10,50,0.2,complete
VideoRepick,perceptual-framesamp-expert,k7,4,50,0.08,complete
VideoRepick,perceptual-tokendrop-context,no-history,4,50,0.08,complete
VideoRepick,perceptual-tokendrop-context,k0,8,50,0.16,complete
VideoRepick,perceptual-tokendrop-context,k1,8,50,0.16,complete
VideoRepick,perceptual-tokendrop-context,k3,3,50,0.06,complete
VideoRepick,perceptual-tokendrop-context,k7,1,50,0.02,complete
VideoRepick,perceptual-tokendrop-expert,no-history,0,50,0.0,complete
VideoRepick,perceptual-tokendrop-expert,k0,10,50,0.2,complete
VideoRepick,perceptual-tokendrop-expert,k1,11,50,0.22,complete
VideoRepick,perceptual-tokendrop-expert,k3,6,50,0.12,complete
VideoRepick,perceptual-tokendrop-expert,k7,2,50,0.04,complete
VideoRepick,recurrent-ttt-context,no-history,6,50,0.12,complete
VideoRepick,recurrent-ttt-context,k0,2,50,0.04,complete
VideoRepick,recurrent-ttt-context,k1,1,50,0.02,complete
VideoRepick,recurrent-ttt-context,k3,5,50,0.1,complete
VideoRepick,recurrent-ttt-context,k7,3,50,0.06,complete
VideoPlaceButton,pi05_baseline,no-history,16,50,0.32,complete
VideoPlaceButton,perceptual-framesamp-modul,no-history,16,50,0.32,complete
VideoPlaceButton,perceptual-framesamp-modul,k0,30,50,0.6,complete
VideoPlaceButton,perceptual-framesamp-modul,k1,27,50,0.54,complete
VideoPlaceButton,perceptual-framesamp-modul,k3,26,50,0.52,complete
VideoPlaceButton,perceptual-framesamp-modul,k7,12,50,0.24,complete
VideoPlaceButton,perceptual-tokendrop-modul,no-history,12,50,0.24,complete
VideoPlaceButton,perceptual-tokendrop-modul,k0,27,50,0.54,complete
VideoPlaceButton,perceptual-tokendrop-modul,k1,23,50,0.46,complete
VideoPlaceButton,perceptual-tokendrop-modul,k3,14,50,0.28,complete
VideoPlaceButton,perceptual-tokendrop-modul,k7,16,50,0.32,complete
VideoPlaceButton,recurrent-ttt-expert,no-history,10,50,0.2,complete
VideoPlaceButton,recurrent-ttt-expert,k0,15,50,0.3,complete
VideoPlaceButton,recurrent-ttt-expert,k1,13,50,0.26,complete
VideoPlaceButton,recurrent-ttt-expert,k3,13,50,0.26,complete
VideoPlaceButton,recurrent-ttt-expert,k7,10,50,0.2,complete
VideoPlaceButton,perceptual-framesamp-context,no-history,12,50,0.24,complete
VideoPlaceButton,perceptual-framesamp-context,k0,12,50,0.24,complete
VideoPlaceButton,perceptual-framesamp-context,k1,12,50,0.24,complete
VideoPlaceButton,perceptual-framesamp-context,k3,15,50,0.3,complete
VideoPlaceButton,perceptual-framesamp-context,k7,13,50,0.26,complete
VideoPlaceButton,perceptual-framesamp-expert,no-history,9,50,0.18,complete
VideoPlaceButton,perceptual-framesamp-expert,k0,15,50,0.3,complete
VideoPlaceButton,perceptual-framesamp-expert,k1,12,50,0.24,complete
VideoPlaceButton,perceptual-framesamp-expert,k3,13,50,0.26,complete
VideoPlaceButton,perceptual-framesamp-expert,k7,11,50,0.22,complete
VideoPlaceButton,perceptual-tokendrop-context,no-history,8,50,0.16,complete
VideoPlaceButton,perceptual-tokendrop-context,k0,9,50,0.18,complete
VideoPlaceButton,perceptual-tokendrop-context,k1,10,50,0.2,complete
VideoPlaceButton,perceptual-tokendrop-context,k3,9,50,0.18,complete
VideoPlaceButton,perceptual-tokendrop-context,k7,5,50,0.1,complete
VideoPlaceButton,perceptual-tokendrop-expert,no-history,14,50,0.28,complete
VideoPlaceButton,perceptual-tokendrop-expert,k0,17,50,0.34,complete
VideoPlaceButton,perceptual-tokendrop-expert,k1,13,50,0.26,complete
VideoPlaceButton,perceptual-tokendrop-expert,k3,13,50,0.26,complete
VideoPlaceButton,perceptual-tokendrop-expert,k7,12,50,0.24,complete
VideoPlaceButton,recurrent-ttt-context,no-history,12,50,0.24,complete
VideoPlaceButton,recurrent-ttt-context,k0,8,50,0.16,complete
VideoPlaceButton,recurrent-ttt-context,k1,15,50,0.3,complete
VideoPlaceButton,recurrent-ttt-context,k3,19,50,0.38,complete
VideoPlaceButton,recurrent-ttt-context,k7,6,50,0.12,complete
VideoPlaceOrder,pi05_baseline,no-history,14,50,0.28,complete
VideoPlaceOrder,perceptual-framesamp-modul,no-history,8,50,0.16,complete
VideoPlaceOrder,perceptual-framesamp-modul,k0,20,50,0.4,complete
VideoPlaceOrder,perceptual-framesamp-modul,k1,19,50,0.38,complete
VideoPlaceOrder,perceptual-framesamp-modul,k3,18,50,0.36,complete
VideoPlaceOrder,perceptual-framesamp-modul,k7,14,50,0.28,complete
VideoPlaceOrder,perceptual-tokendrop-modul,no-history,13,50,0.26,complete
VideoPlaceOrder,perceptual-tokendrop-modul,k0,19,50,0.38,complete
VideoPlaceOrder,perceptual-tokendrop-modul,k1,16,50,0.32,complete
VideoPlaceOrder,perceptual-tokendrop-modul,k3,18,50,0.36,complete
VideoPlaceOrder,perceptual-tokendrop-modul,k7,13,50,0.26,complete
VideoPlaceOrder,recurrent-ttt-expert,no-history,11,50,0.22,complete
VideoPlaceOrder,recurrent-ttt-expert,k0,10,50,0.2,complete
VideoPlaceOrder,recurrent-ttt-expert,k1,10,50,0.2,complete
VideoPlaceOrder,recurrent-ttt-expert,k3,7,50,0.14,complete
VideoPlaceOrder,recurrent-ttt-expert,k7,11,50,0.22,complete
VideoPlaceOrder,perceptual-framesamp-context,no-history,11,50,0.22,complete
VideoPlaceOrder,perceptual-framesamp-context,k0,17,50,0.34,complete
VideoPlaceOrder,perceptual-framesamp-context,k1,12,50,0.24,complete
VideoPlaceOrder,perceptual-framesamp-context,k3,14,50,0.28,complete
VideoPlaceOrder,perceptual-framesamp-context,k7,12,50,0.24,complete
VideoPlaceOrder,perceptual-framesamp-expert,no-history,13,50,0.26,complete
VideoPlaceOrder,perceptual-framesamp-expert,k0,14,50,0.28,complete
VideoPlaceOrder,perceptual-framesamp-expert,k1,12,50,0.24,complete
VideoPlaceOrder,perceptual-framesamp-expert,k3,13,50,0.26,complete
VideoPlaceOrder,perceptual-framesamp-expert,k7,11,50,0.22,complete
VideoPlaceOrder,perceptual-tokendrop-context,no-history,0,50,0.0,complete
VideoPlaceOrder,perceptual-tokendrop-context,k0,2,50,0.04,complete
VideoPlaceOrder,perceptual-tokendrop-context,k1,3,50,0.06,complete
VideoPlaceOrder,perceptual-tokendrop-context,k3,0,50,0.0,complete
VideoPlaceOrder,perceptual-tokendrop-context,k7,0,50,0.0,complete
VideoPlaceOrder,perceptual-tokendrop-expert,no-history,9,50,0.18,complete
VideoPlaceOrder,perceptual-tokendrop-expert,k0,12,50,0.24,complete
VideoPlaceOrder,perceptual-tokendrop-expert,k1,9,50,0.18,complete
VideoPlaceOrder,perceptual-tokendrop-expert,k3,8,50,0.16,complete
VideoPlaceOrder,perceptual-tokendrop-expert,k7,10,50,0.2,complete
VideoPlaceOrder,recurrent-ttt-context,no-history,6,50,0.12,complete
